trade_id,entry_time,exit_time,entry_price,minutes_held,lot1_exit_reason,lot2_exit_reason,lot1_exit_price,lot2_exit_price,total_pnl,positive_move_percent,negative_move_percent,win
56,2026-03-12 23:26:00+05:30,2026-03-13 02:05:00+05:30,70148.5,159,take_profit_250pips,time_exit_159min,70151.0,70214.0,23.799999999999997,0.4376430002067043,-0.23378974603876063,True
57,2026-03-13 02:08:00+05:30,2026-03-13 04:47:00+05:30,70164.0,159,take_profit_250pips,time_exit_159min,70166.5,70464.5,106.05,2.5981985063565363,0.264380594036828,True
58,2026-03-13 09:31:00+05:30,2026-03-13 12:10:00+05:30,71386.5,159,take_profit_250pips,time_exit_159min,71389.0,71303.5,-28.174999999999997,1.0793357287442304,-0.3004769809417747,False
59,2026-03-13 12:35:00+05:30,2026-03-13 15:14:00+05:30,71381.5,159,take_profit_250pips,time_exit_159min,71384.0,71836.0,159.95000000000005,1.6404810770297626,0.5988946715885768,True
60,2026-03-13 20:17:00+05:30,2026-03-13 22:56:00+05:30,72807.5,159,take_profit_250pips,time_exit_159min,72810.0,71693.0,-389.2,-1.4449060879717064,-2.7339216426879096,False
61,2026-03-14 06:57:00+05:30,2026-03-14 09:36:00+05:30,70770.5,159,take_profit_250pips,time_exit_159min,70773.0,71104.0,117.6,0.7178132131325905,-0.702976522703669,True
62,2026-03-14 16:31:00+05:30,2026-03-14 19:10:00+05:30,70541.0,159,take_profit_250pips,time_exit_159min,70543.5,70828.5,101.5,0.5308969251924412,-0.12404133766178535,True
63,2026-03-14 22:27:00+05:30,2026-03-15 01:06:00+05:30,70653.0,159,take_profit_250pips,time_exit_159min,70655.5,70627.5,-8.049999999999999,0.25264319986412465,-0.05449167055892885,False
64,2026-03-15 02:50:00+05:30,2026-03-15 05:29:00+05:30,70665.0,159,take_profit_250pips,time_exit_159min,70667.5,71182.0,181.825,0.9863440175475836,0.22712799830184677,True
65,2026-03-15 06:41:00+05:30,2026-03-15 09:20:00+05:30,70910.0,159,take_profit_250pips,time_exit_159min,70912.5,71267.0,125.82499999999999,1.1951769849104499,0.47313495980820763,True
66,2026-03-15 11:28:00+05:30,2026-03-15 14:07:00+05:30,71457.5,159,take_profit_250pips,time_exit_159min,71460.0,71498.0,15.049999999999999,0.6283455200643739,0.030787531049924783,True
67,2026-03-15 20:42:00+05:30,2026-03-15 23:21:00+05:30,71525.0,159,take_profit_250pips,time_exit_159min,71527.5,71561.0,13.475,0.6256553652569031,-0.3432366305487592,True
68,2026-03-16 00:59:00+05:30,2026-03-16 03:38:00+05:30,71491.0,159,take_profit_250pips,time_exit_159min,71493.5,71973.0,169.575,2.3716271978290973,0.2755591612930299,True
69,2026-03-16 07:19:00+05:30,2026-03-16 09:58:00+05:30,72601.5,159,take_profit_250pips,time_exit_159min,72604.0,73606.5,352.625,2.548156718525099,1.3167772015729702,True
70,2026-03-16 11:59:00+05:30,2026-03-16 14:38:00+05:30,73691.0,159,take_profit_250pips,time_exit_159min,73693.5,73071.5,-215.95,0.1621636292084515,-0.8874896527391405,False
71,2026-03-16 15:34:00+05:30,2026-03-16 18:13:00+05:30,73377.5,159,take_profit_250pips,time_exit_159min,73380.0,73791.0,145.6,1.5147695138155428,-0.5635242410820755,True
72,2026-03-16 20:53:00+05:30,2026-03-16 23:32:00+05:30,73850.0,159,take_profit_250pips,time_exit_159min,73852.5,73948.5,35.349999999999994,0.7501692620176033,-0.13337846987136087,True
73,2026-03-17 01:17:00+05:30,2026-03-17 03:56:00+05:30,73994.0,159,take_profit_250pips,time_exit_159min,73996.5,74582.5,206.85,2.0298943157553313,0.2885369083979782,True
74,2026-03-17 08:18:00+05:30,2026-03-17 10:57:00+05:30,75237.0,159,take_profit_250pips,time_exit_159min,75239.5,74365.0,-304.325,-1.068623150843335,-1.9883833752010316,False
75,2026-03-17 17:05:00+05:30,2026-03-17 19:44:00+05:30,74005.5,159,take_profit_250pips,time_exit_159min,74008.0,73691.0,-109.19999999999999,1.1600489152833235,-0.692516096776591,False
76,2026-03-17 19:59:00+05:30,2026-03-17 22:38:00+05:30,73861.0,159,take_profit_250pips,time_exit_159min,73863.5,74169.5,108.85,1.2327209217313604,0.14554365632742586,True
77,2026-03-18 01:21:00+05:30,2026-03-18 04:00:00+05:30,74479.5,159,take_profit_250pips,time_exit_159min,74482.0,74303.0,-60.9,-0.15440490336267026,-1.3151269812498743,False
78,2026-03-18 09:58:00+05:30,2026-03-18 12:37:00+05:30,74258.5,159,take_profit_250pips,time_exit_159min,74261.0,73857.5,-139.475,-0.005386588740682884,-0.8079883111024326,False
79,2026-03-18 13:37:00+05:30,2026-03-18 16:16:00+05:30,73969.0,159,take_profit_250pips,time_exit_159min,73971.5,73843.5,-43.05,0.09666211521042599,-2.534845678595087,False
80,2026-03-18 23:02:00+05:30,2026-03-19 01:41:00+05:30,71364.5,159,take_profit_250pips,time_exit_159min,71367.0,70463.5,-314.47499999999997,0.05324776324362954,-1.2632331201087377,False
81,2026-03-19 02:33:00+05:30,2026-03-19 05:12:00+05:30,71266.0,159,take_profit_250pips,time_exit_159min,71268.5,71253.5,-3.5,0.10523952515926248,-0.564083854853647,False
