entry_idx,exit_idx,entry_time,exit_time,entry_price,lot1_exit_price,lot2_exit_price,lot1_size,lot2_size,lot1_pnl,lot2_pnl,total_pnl,win,lot1_exit_reason,lot2_exit_reason,minutes_held,sma_value,volume_ratio,inside_bar_range,prev_bar_range,positive_move_after_159min,negative_move_after_159min,risk_reward,bar_ratio
20620,20779,2026-03-12 09:39:00+05:30,2026-03-12 12:18:00+05:30,69610.5,69613.0,69433.5,0.35,0.35,0.875,-61.949999999999996,-61.074999999999996,False,take_profit_250pips,time_exit_159min,159,69619.38010204081,0,41.0,65.5,0.6859597330862441,-0.33543790089138853,1.0,0.6259446420665333
20928,21087,2026-03-12 14:47:00+05:30,2026-03-12 17:26:00+05:30,69624.0,69626.5,70408.5,0.35,0.35,0.875,274.575,275.45,True,take_profit_250pips,time_exit_159min,159,69630.60714285714,0,48.5,100.5,1.447058485579685,0.007181431690221763,1.0,0.48258226286305606
21222,21381,2026-03-12 19:41:00+05:30,2026-03-12 22:20:00+05:30,70325.5,70328.0,70444.0,0.35,0.35,0.875,41.474999999999994,42.349999999999994,True,take_profit_250pips,time_exit_159min,159,70322.38010204081,0,73.0,110.0,0.2595075754882653,-0.8460657940576319,1.0,0.6636303306333579
21447,21606,2026-03-12 23:26:00+05:30,2026-03-13 02:05:00+05:30,70148.5,70151.0,70214.0,0.35,0.35,0.875,22.924999999999997,23.799999999999997,True,take_profit_250pips,time_exit_159min,159,70137.04846938775,0,57.5,201.0,0.4376430002067043,-0.23378974603876063,1.0,0.28606822851627606
21609,21768,2026-03-13 02:08:00+05:30,2026-03-13 04:47:00+05:30,70164.0,70166.5,70464.5,0.35,0.35,0.875,105.175,106.05,True,take_profit_250pips,time_exit_159min,159,70164.99744897959,0,22.5,62.5,2.5981985063565363,0.264380594036828,1.0,0.3599942400921585
22052,22211,2026-03-13 09:31:00+05:30,2026-03-13 12:10:00+05:30,71386.5,71389.0,71303.5,0.35,0.35,0.875,-29.049999999999997,-28.174999999999997,False,take_profit_250pips,time_exit_159min,159,71359.70153061225,0,29.5,42.0,1.0793357287442304,-0.3004769809417747,1.0,0.702364229423109
22236,22395,2026-03-13 12:35:00+05:30,2026-03-13 15:14:00+05:30,71381.5,71384.0,71836.0,0.3500000000000001,0.3500000000000001,0.8750000000000002,159.07500000000005,159.95000000000005,True,take_profit_250pips,time_exit_159min,159,71367.88520408163,0,49.5,114.5,1.6404810770297626,0.5988946715885768,1.0,0.4323106348416171
22698,22857,2026-03-13 20:17:00+05:30,2026-03-13 22:56:00+05:30,72807.5,72810.0,71693.0,0.35,0.35,0.875,-390.075,-389.2,False,take_profit_250pips,time_exit_159min,159,72846.47448979592,0,137.0,270.0,-1.4449060879717064,-2.7339216426879096,1.0,0.5074055281276737
23338,23497,2026-03-14 06:57:00+05:30,2026-03-14 09:36:00+05:30,70770.5,70773.0,71104.0,0.35,0.35,0.875,116.725,117.6,True,take_profit_250pips,time_exit_159min,159,70770.28316326531,0,3.5,11.5,0.7178132131325905,-0.702976522703669,1.0,0.3043213633597079
23912,24071,2026-03-14 16:31:00+05:30,2026-03-14 19:10:00+05:30,70541.0,70543.5,70828.5,0.35,0.35,0.875,100.625,101.5,True,take_profit_250pips,time_exit_159min,159,70550.63775510204,0,12.0,45.5,0.5308969251924412,-0.12404133766178535,1.0,0.2637304674622536
24268,24427,2026-03-14 22:27:00+05:30,2026-03-15 01:06:00+05:30,70653.0,70655.5,70627.5,0.35,0.35,0.875,-8.924999999999999,-8.049999999999999,False,take_profit_250pips,time_exit_159min,159,70653.4413265306,0,1.0,9.5,0.25264319986412465,-0.05449167055892885,1.0,0.1052520787285549
24531,24690,2026-03-15 02:50:00+05:30,2026-03-15 05:29:00+05:30,70665.0,70667.5,71182.0,0.35,0.35,0.875,180.95,181.825,True,take_profit_250pips,time_exit_159min,159,70662.39540816327,0,14.0,35.5,0.9863440175475836,0.22712799830184677,1.0,0.3943550885890539
24762,24921,2026-03-15 06:41:00+05:30,2026-03-15 09:20:00+05:30,70910.0,70912.5,71267.0,0.35,0.35,0.875,124.94999999999999,125.82499999999999,True,take_profit_250pips,time_exit_159min,159,70922.69897959183,0,57.0,99.0,1.1951769849104499,0.47313495980820763,1.0,0.5757517600832315
25049,25208,2026-03-15 11:28:00+05:30,2026-03-15 14:07:00+05:30,71457.5,71460.0,71498.0,0.35,0.35,0.875,14.174999999999999,15.049999999999999,True,take_profit_250pips,time_exit_159min,159,71461.41326530612,0,15.5,22.0,0.6283455200643739,0.030787531049924783,1.0,0.7045134312076723
25603,25762,2026-03-15 20:42:00+05:30,2026-03-15 23:21:00+05:30,71525.0,71527.5,71561.0,0.35,0.35,0.875,12.6,13.475,True,take_profit_250pips,time_exit_159min,159,71530.19642857143,0,11.0,29.0,0.6256553652569031,-0.3432366305487592,1.0,0.3792972656115306
25860,26019,2026-03-16 00:59:00+05:30,2026-03-16 03:38:00+05:30,71491.0,71493.5,71973.0,0.35,0.35,0.875,168.7,169.575,True,take_profit_250pips,time_exit_159min,159,71515.46428571429,0,28.5,32.0,2.3716271978290973,0.2755591612930299,1.0,0.8905971688384738
26240,26399,2026-03-16 07:19:00+05:30,2026-03-16 09:58:00+05:30,72601.5,72604.0,73606.5,0.35,0.35,0.875,351.75,352.625,True,take_profit_250pips,time_exit_159min,159,72601.8086734694,0,27.0,34.5,2.548156718525099,1.3167772015729702,1.0,0.7825860119996523
26520,26679,2026-03-16 11:59:00+05:30,2026-03-16 14:38:00+05:30,73691.0,73693.5,73071.5,0.35,0.35,0.875,-216.825,-215.95,False,take_profit_250pips,time_exit_159min,159,73698.5663265306,0,28.5,50.5,0.1621636292084515,-0.8874896527391405,1.0,0.5643452604898913
